"국가별",2018,2019,2020,2021,2022
"아시아",,,,,
"대한민국",27,28,23,23,27
"이스라엘",21,24,26,27,25
"일본",25,30,34,31,34
"튀르키예",46,51,46,51,52
"북아메리카",,,,,
"캐나다",10,13,8,14,14
"멕시코",51,50,53,55,55
"미국",1,3,10,10,10
"남아메리카",,,,,
"칠레",35,42,38,44,45
"콜롬비아",58,52,54,56,57
"유럽",,,,,
"오스트리아",18,19,16,19,20
"벨기에",26,27,25,24,21
"체코",29,33,33,34,26
"덴마크",6,8,2,3,1
"에스토니아",31,35,28,26,22
"핀란드",16,15,13,11,8
"프랑스",28,31,32,29,28
"독일",15,17,17,15,15
"그리스",57,58,49,46,47
"헝가리",47,47,47,42,39
"아이슬란드",24,20,21,21,16
"아일랜드",12,7,12,13,11
"이탈리아",42,44,44,41,41
"라트비아",40,40,41,38,35
"리투아니아",32,29,31,30,29
"룩셈부르크",11,12,15,12,13
"네덜란드",4,6,4,4,6
"노르웨이",8,11,7,6,9
"폴란드",34,38,39,47,50
"포르투갈",33,39,37,36,42
"슬로바키아",55,53,57,50,49
"슬로베니아",37,37,35,40,38
"스페인",36,36,36,39,36
"스웨덴",9,9,6,2,4
"스위스",5,4,3,1,2
"영국",20,23,19,18,23
"오세아니아",,,,,
"오스트레일리아",19,18,18,22,19
"뉴질랜드",23,21,22,20,31
